id,submitdate,lastpage,startlanguage,FYllatus,FYllatus[other],FKurbus,FKurbus[other],FHirm,FHirm[other],FViha,FViha[other],FVastikus,FVastikus[other],FRoom,FRoom[other],R1Kurb,R1Kurb[other],R1Hirm,R1Hirm[other],R2Yllatunud,R2Yllatunud[other],R2Onnelik,R2Onnelik[other],R1Kuri,R1Kuri[other],R1Neutraalne,R1Neutraalne[other],R2Keskendunud,R2Keskendunud[other],R2Keskendunud2,R2Keskendunud2[other],R2Kurb,R2Kurb[other],R2Neutraalne,R2Neutraalne[other],R2Segaduses,R2Segaduses[other],R2Yllatunud2,R2Yllatunud2[other],R3Roomus,R3Roomus[other],R3Kurb,R3Kurb[other],R3Yllatunud,R3Yllatunud[other],R3Segaduses,R3Segaduses[other],K2,K2[other],R4Roomus,R4Roomus[other],R4Kuri,R4Kuri[other],R4Neutraalne,R4Neutraalne[other],YStopping,YStopping[other],Y2Stop,Y2Stop[other],Y4AnnabTeed,Y4AnnabTeed[other],Y6Soidab,Y6Soidab[other],YGoAhead,YGoAhead[other],YAnnabTeedPeatunud,YAnnabTeedPeatunud[other],Y5HakkabSoitma,Y5HakkabSoitma[other],Y3Yletee,Y3Yletee[other],Sugu,Vanus,Igap2evaneSuhtlus,Email,Valimised
7,01-01-80 00:00,3,et,üllatunud,,kurbus,,hirm,,keskendunud,,vastikus,,rõõm,,neutraalne,,rõõm,,üllatunud,,keskendunud,,viha,,segadustunne,,neutraalne,,muu,väsimus,kurbus,,keskendunud,,segadustunne,,segadustunne,,rõõm,,kurbus,,hirm,,segadustunne,,kurbus,,rõõm,,segadustunne,,segadustunne,,"Tegu on dekoratiivse elemendiga, mis ei oma minu kui jalakäija jaoks mingit tähendust.",,"Projektsioon viitab, et sõiduk peatub.",,"Tablool kujutatu viitab, et sõiduk ei muuda oma tegutsemist ning jätkab oma sõitu samamoodi.",,"Arvan, et tablool kujutatu võib olla informatsioon jalakäijale, aga ma ei mõista selle tähendust.",,"Tablool kujutatu viitab, et sõiduk annab mulle teed.",,"Arvan, et tablool kujutatu võib olla informatsioon jalakäijale, aga ma ei mõista selle tähendust.",,"Tablool kujutatu viitab, et sõiduk alustab kohe liikumist.",,"Projektsioon viitab, et sõiduk annab mulle teed.",,Naine,26,Jah,Jah,kasutasin e-valimiste võimalust
8,01-01-80 00:00,3,et,üllatunud,,kurbus,,hirm,,viha,,vastikus,,rõõm,,kurbus,,üllatunud,,üllatunud,,keskendunud,,viha,,üllatunud,,neutraalne,,segadustunne,,kurbus,,keskendunud,,üllatunud,,keskendunud,,rõõm,,kurbus,,üllatunud,,segadustunne,,kurbus,,rõõm,,segadustunne,,keskendunud,,"Arvan, et tablool kujutatu võib olla informatsioon jalakäijale, aga ma ei mõista selle tähendust.",,"Projektsioon viitab, et sõiduk ei muuda oma tegutsemist ning jätkab oma sõitu samamoodi.",,"Arvan, et tablool kujutatu võib olla informatsioon jalakäijale, aga ma ei mõista selle tähendust.",,"Arvan, et tablool kujutatu võib olla informatsioon jalakäijale, aga ma ei mõista selle tähendust.",,"Tablool kujutatu viitab, et sõiduk annab mulle teed.",,"Tablool kujutatu viitab, et sõiduk annab mulle teed.",,"Tablool kujutatu viitab, et sõiduk alustab kohe liikumist.",,"Projektsioon viitab, et sõiduk annab mulle teed.",,Mees,26,Jah,Jah,kasutasin e-valimiste võimalust
9,01-01-80 00:00,3,et,üllatunud,,kurbus,,hirm,,segadustunne,,vastikus,,rõõm,,kurbus,,neutraalne,,üllatunud,,vastikus,,viha,,rõõm,,hirm,,segadustunne,,muu,Väsinud,neutraalne,,segadustunne,,üllatunud,,üllatunud,,kurbus,,hirm,,segadustunne,,kurbus,,hirm,,segadustunne,,segadustunne,,"Tegu on dekoratiivse elemendiga, mis ei oma minu kui jalakäija jaoks mingit tähendust.",,"Projektsioon viitab, et sõiduk ei muuda oma tegutsemist ning jätkab oma sõitu samamoodi.",,"Tegu on dekoratiivse elemendiga, mis ei oma minu kui jalakäija jaoks mingit tähendust.",,"Tegu on dekoratiivse elemendiga, mis ei oma minu kui jalakäija jaoks mingit tähendust.",,"Tegu on dekoratiivse elemendiga, mis ei oma minu kui jalakäija jaoks mingit tähendust.",,"Tegu on dekoratiivse elemendiga, mis ei oma minu kui jalakäija jaoks mingit tähendust.",,"Tegu on dekoratiivse elemendiga, mis ei oma minu kui jalakäija jaoks mingit tähendust.",,"Tegu on dekoratiivse elemendiga, mis ei oma minu kui jalakäija jaoks mingit tähendust.",,Naine,33,Jah,Jah,käisin valimisjaoskonnas
14,01-01-80 00:00,3,et,segadustunne,,kurbus,,hirm,,keskendunud,,segadustunne,,üllatunud,,kurbus,,rõõm,,üllatunud,,keskendunud,,vastikus,,üllatunud,,neutraalne,,segadustunne,,kurbus,,neutraalne,,segadustunne,,neutraalne,,rõõm,,kurbus,,üllatunud,,viha,,segadustunne,,segadustunne,,üllatunud,,neutraalne,,"Tegu on dekoratiivse elemendiga, mis ei oma minu kui jalakäija jaoks mingit tähendust.",,"Tegu on dekoratiivse elemendiga, mis ei oma minu kui jalakäija jaoks mingit tähendust.",,"Tegu on dekoratiivse elemendiga, mis ei oma minu kui jalakäija jaoks mingit tähendust.",,"Tegu on dekoratiivse elemendiga, mis ei oma minu kui jalakäija jaoks mingit tähendust.",,"Tegu on dekoratiivse elemendiga, mis ei oma minu kui jalakäija jaoks mingit tähendust.",,"Tegu on dekoratiivse elemendiga, mis ei oma minu kui jalakäija jaoks mingit tähendust.",,"Tegu on dekoratiivse elemendiga, mis ei oma minu kui jalakäija jaoks mingit tähendust.",,"Tegu on dekoratiivse elemendiga, mis ei oma minu kui jalakäija jaoks mingit tähendust.",,Mees,50,Jah,Jah,kasutasin e-valimiste võimalust
16,01-01-80 00:00,3,et,üllatunud,,kurbus,,üllatunud,,viha,,vastikus,,rõõm,,kurbus,,üllatunud,,neutraalne,,keskendunud,,viha,,üllatunud,,neutraalne,,kurbus,,kurbus,,neutraalne,,segadustunne,,neutraalne,,rõõm,,kurbus,,üllatunud,,segadustunne,,kurbus,,rõõm,,segadustunne,,segadustunne,,"Tegu on dekoratiivse elemendiga, mis ei oma minu kui jalakäija jaoks mingit tähendust.",,"Projektsioon viitab, et sõiduk peatub.",,"Arvan, et tablool kujutatu võib olla informatsioon jalakäijale, aga ma ei mõista selle tähendust.",,"Arvan, et tablool kujutatu võib olla informatsioon jalakäijale, aga ma ei mõista selle tähendust.",,"Tegu on dekoratiivse elemendiga, mis ei oma minu kui jalakäija jaoks mingit tähendust.",,"Arvan, et tablool kujutatu võib olla informatsioon jalakäijale, aga ma ei mõista selle tähendust.",,"Arvan, et tablool kujutatu võib olla informatsioon jalakäijale, aga ma ei mõista selle tähendust.",,"Projektsioon viitab, et sõiduk annab mulle teed.",,Mees,26,Jah,Jah,kasutasin e-valimiste võimalust
17,01-01-80 00:00,3,et,üllatunud,,kurbus,,hirm,,viha,,vastikus,,rõõm,,kurbus,,rõõm,,üllatunud,,viha,,viha,,üllatunud,,neutraalne,,neutraalne,,kurbus,,üllatunud,,segadustunne,,neutraalne,,rõõm,,kurbus,,hirm,,segadustunne,,kurbus,,rõõm,,segadustunne,,segadustunne,,"Arvan, et tablool kujutatu võib olla informatsioon jalakäijale, aga ma ei mõista selle tähendust.",,"Projektsioon viitab, et sõiduk ei muuda oma tegutsemist ning jätkab oma sõitu samamoodi.",,"Tablool kujutatu viitab, et sõiduk peatub.",,"Tablool kujutatu viitab, et sõiduk peatub.",,"Tablool kujutatu viitab, et sõiduk annab mulle teed.",,"Tablool kujutatu viitab, et sõiduk annab mulle teed.",,"Tablool kujutatu viitab, et sõiduk alustab kohe liikumist.",,"Projektsioon viitab, et sõiduk annab mulle teed.",,Naine,30,Jah,Jah,kasutasin e-valimiste võimalust
18,01-01-80 00:00,3,et,hirm,,kurbus,,hirm,,viha,,vastikus,,rõõm,,kurbus,,neutraalne,,keskendunud,,ei oska öelda,,viha,,segadustunne,,neutraalne,,muu,tüdimus,kurbus,,neutraalne,,segadustunne,,neutraalne,,rõõm,,kurbus,,üllatunud,,segadustunne,,kurbus,,ei oska öelda,,ei oska öelda,,ei oska öelda,,"Arvan, et tablool kujutatu võib olla informatsioon jalakäijale, aga ma ei mõista selle tähendust.",,"Projektsioon viitab, et sõiduk peatub.",,"Arvan, et tablool kujutatu võib olla informatsioon jalakäijale, aga ma ei mõista selle tähendust.",,"Arvan, et tablool kujutatu võib olla informatsioon jalakäijale, aga ma ei mõista selle tähendust.",,"Arvan, et tablool kujutatu võib olla informatsioon jalakäijale, aga ma ei mõista selle tähendust.",,"Arvan, et tablool kujutatu võib olla informatsioon jalakäijale, aga ma ei mõista selle tähendust.",,"Arvan, et tablool kujutatu võib olla informatsioon jalakäijale, aga ma ei mõista selle tähendust.",,"Projektsioon viitab, et sõiduk annab mulle teed.",,Mees,26,Jah,Jah,kasutasin e-valimiste võimalust
19,01-01-80 00:00,3,et,üllatunud,,kurbus,,üllatunud,,viha,,viha,,rõõm,,kurbus,,üllatunud,,üllatunud,,kurbus,,viha,,üllatunud,,neutraalne,,kurbus,,kurbus,,ei oska öelda,,segadustunne,,neutraalne,,rõõm,,kurbus,,segadustunne,,segadustunne,,kurbus,,ei oska öelda,,segadustunne,,ei oska öelda,,"Tegu on dekoratiivse elemendiga, mis ei oma minu kui jalakäija jaoks mingit tähendust.",,"Projektsioon viitab, et sõiduk peatub.",,"Tablool kujutatu viitab, et sõiduk ei muuda oma tegutsemist ning jätkab oma sõitu samamoodi.",,"Tablool kujutatu viitab, et sõiduk peatub.",,"Tablool kujutatu viitab, et sõiduk annab mulle teed.",,"Arvan, et tablool kujutatu võib olla informatsioon jalakäijale, aga ma ei mõista selle tähendust.",,"Tablool kujutatu viitab, et sõiduk alustab kohe liikumist.",,"Projektsioon viitab, et sõiduk annab mulle teed.",,Naine,25,Jah,Jah,käisin valimisjaoskonnas
20,01-01-80 00:00,3,et,üllatunud,,kurbus,,hirm,,viha,,vastikus,,rõõm,,kurbus,,rõõm,,keskendunud,,viha,,viha,,keskendunud,,keskendunud,,kurbus,,kurbus,,neutraalne,,segadustunne,,üllatunud,,rõõm,,kurbus,,üllatunud,,segadustunne,,kurbus,,rõõm,,segadustunne,,segadustunne,,"Arvan, et tablool kujutatu võib olla informatsioon jalakäijale, aga ma ei mõista selle tähendust.",,"Arvan, et projektsioon võib olla informatsioon jalakäijale, aga ma ei mõista selle tähendust.",,"Tegu on dekoratiivse elemendiga, mis ei oma minu kui jalakäija jaoks mingit tähendust.",,"Tegu on dekoratiivse elemendiga, mis ei oma minu kui jalakäija jaoks mingit tähendust.",,"Tablool kujutatu viitab, et sõiduk annab mulle teed.",,"Tegu on dekoratiivse elemendiga, mis ei oma minu kui jalakäija jaoks mingit tähendust.",,"Tegu on dekoratiivse elemendiga, mis ei oma minu kui jalakäija jaoks mingit tähendust.",,"Projektsioon viitab, et sõiduk annab mulle teed.",,Mees,28,Jah,Jah,kasutasin e-valimiste võimalust
23,01-01-80 00:00,3,et,üllatunud,,muu,Väsimus,hirm,,viha,,vastikus,,rõõm,,kurbus,,rõõm,,üllatunud,,viha,,viha,,üllatunud,,neutraalne,,kurbus,,kurbus,,neutraalne,,segadustunne,,neutraalne,,rõõm,,kurbus,,hirm,,segadustunne,,kurbus,,rõõm,,segadustunne,,neutraalne,,"Tegu on dekoratiivse elemendiga, mis ei oma minu kui jalakäija jaoks mingit tähendust.",,"Projektsioon viitab, et sõiduk peatub.",,"Tegu on dekoratiivse elemendiga, mis ei oma minu kui jalakäija jaoks mingit tähendust.",,"Tegu on dekoratiivse elemendiga, mis ei oma minu kui jalakäija jaoks mingit tähendust.",,"Tegu on dekoratiivse elemendiga, mis ei oma minu kui jalakäija jaoks mingit tähendust.",,"Tegu on dekoratiivse elemendiga, mis ei oma minu kui jalakäija jaoks mingit tähendust.",,"Tegu on dekoratiivse elemendiga, mis ei oma minu kui jalakäija jaoks mingit tähendust.",,"Projektsioon viitab, et sõiduk annab mulle teed.",,Naine,27,Jah,Jah,kasutasin e-valimiste võimalust
